Total cajas: 16
step|z_nueva|top_nueva|orient|x_mm|diff_min
0|0|345|planar|-20|0|
1|0|355|planar|585|-345|
2|0|605|stand_hw|-20|-345|
3|0|605|stand_hw|425|-345|
4|355|680|planar|640|10|
5|680|1005|planar|645|335|
6|1005|1355|planar|615|660|***
7|1355|1705|planar|620|1010|***
8|1705|2035|planar|640|1360|***
9|605|1000|planar|-20|260|
10|1000|1435|planar|-20|655|***
11|1435|2040|stand_hw|140|1090|***
12|345|950|stand_hw|-20|0|
13|950|1585|stand_hw|-20|605|***
14|2035|2385|planar|605|1690|***
15|1585|2190|stand_hw|-20|1240|***
